SORT;THEMA;Variabele;Label;Definitie;Bron;Peildatum;Verschijningsfrequentie
1;Bevolking;Bevtotaal;Totale bevolking;Personen die op 1 januari zijn opgenomen in het bevolkingsregister van de gemeente Amsterdam (inclusief briefadreshoudenden). Personen die niet legaal in Nederland verblijven worden buiten beschouwing gelaten. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
11;Bevolking;Bev_prog2015;Bevolkingsprognose 2015;Prognose uit 2015 voor de omvang van de bevolking op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.;OIS;1  januari;eenmalig
21;Bevolking;BevMan;Mannen;Aantal mannen op 1 januari van het peiljaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
31;Bevolking;BevVrouw;Vrouwen;Aantal vrouwen op 1 januari van het peiljaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
41;Bevolking;BevMan_p;% Mannen;Aandeel mannen in de bevolking op 1 januari van het peiljaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
51;Bevolking;BevVrouw_p;% Vrouwen;Aandeel vrouwen in de bevolking op 1 januari van het peiljaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
61;Bevolking;Bevdicht;Bevolkingsdichtheid;Aantal bewoners per vierkante kilometer. De peildatum van het aantal bewoners is 1 januari van het peiljaar, de peildatum van de oppervlakte 1 januari van het peiljaar -1.;Afd. Basisinformatie / OIS;1 januari;1 keer per jaar
71;Bevolking;Bevbrief;Briefadreshoudenden;Personen die op 1 januari zijn opgenomen in het bevolkingsregister van de gemeente Amsterdam, maar niet woonachtig zijn op het adres waar zij staan ingeschreven.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
81;Bevolking;Bevinst;Bewoners van instituten;Aantal niet-zelfstandig wonenden.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
91;Bevolking;Bevinst_p;% Bewoners instituten;Aandeel niet-zelfstandig wonende Amsterdammers.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
101;Bevolking;Bevstud;Bewoners studentenwoningen;Aantal bewoners van studenteneenheden en studentencomplexen.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
111;Bevolking;Bevpotbbv15_64;Potentiële beroepsbevolking 15-64;De potentiele beroepsbevolking is het deel van de bevolking dat gelet op zijn leeftijd in aanmerking komt voor deelname aan het arbeidsproces, oftewel personen in de leeftijd 15 t/m 64 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
121;Bevolking;Bevpotbbv15_64_p;% Potentiële beroepsbevolking 15-64 ;Het aandeel van de bevolking met een leeftijd van 15 tot en met 64 jaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
131;Bevolking;Bevpotbbv15_74;Potentiële beroepsbevolking 15-74;De potentiele beroepsbevolking is het deel van de bevolking dat gelet op zijn leeftijd in aanmerking komt voor deelname aan het arbeidsproces, oftewel personen in de leeftijd 15 t/m 74 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
141;Bevolking;Bevpotbbv15_74_p;% Potentiële beroepsbevolking 15-74;Het aandeel van de bevolking met een leeftijd van 15 tot en met 74 jaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
151;Bevolking;BevSur;Surinaams;De herkomstgroep Surinaams bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam met geboorteland Suriname of van wie een van de ouders is geboren in Suriname. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
