gebiedcode15;gebiednaam;jaar;Bevtotaal;Bev_prog2015;BevMan;BevVrouw;BevMan_p;BevVrouw_p;Bevdicht;Bevbrief;Bevinst;Bevinst_p;Bevstud;Bevpotbbv15_64;Bevpotbbv15_64_p;Bevpotbbv15_74;Bevpotbbv15_74_p;BevSur;BevAntil;BevTurk;BevMarok;BevovNW;BevWest;BevAutoch;BevSur_p;BevAntil_p;BevTurk_p;BevMarok_p;BevovNW_p;BevWest_p;BevAutoch_p;BevNW_p;BevegNW;BevegWest;BevNstedeling;BevNstedeling_p;Bev65auto;Bev65W;Bev65NW;Bev65auto_p;Bev65W_p;Bev65NW_p;Bev17auto;Bev17W;Bev17NW;Bev17auto_p;Bev17W_p;Bev17NW_p;Bevopllaag_p;Bevoplmid_p;Bevoplhoog_p;BevhuishoudenHH;BevgehzkindHH;BevgehmkindHH;BevongehzkindHH;BevongehmkindHH;BeveenouderHH;BevalleenHH;BevoverigHH;BeveenouderHH_p;BevalleenHH_p;BevpaarzkindHH_p;BevpaarmkindHH_p;BevHHmkind;BevHHmkind_p;Bevalleen0_17;Bevalleen18_29;Bevalleen30_49;Bevalleen50_79;Bevalleen80plus;Bevgeb;Bevsterf;Bevvest;Bevvert;Bevvestint;Bevvertint;Bevgelijkint;Bevmutnl_p;Bevmuttot_p;Bevwoonduur;Bev0_4;Bev5_9;Bev10_14;Bev15_19;Bev20_24;Bev25_29;Bev30_34;Bev35_39;Bev40_44;Bev45_49;Bev50_54;Bev55_59;Bev60_64;Bev65_69;Bev70_74;Bev75_79;Bev80_84;Bev85_89;Bev90_94;Bev95_99;Bev100plus;Bev0_3_p;Bev0_3;Bev4_11;Bev12_17;Bev18_22;Bev23_39;Bev40_64;Bev65plus;Bev65plus_p;Bevpeuter;Bev4_12;Bev4_12_p;Bev13_17;Bev0_17;Bev0_17_p;Bev0_18;Bev0_18_p;Bev18plus;Bev5_11;Bev15_26;Bev65_74;Bev75plus;Bev75plus_p;Bev80plus;Bev80plus_p;WvoorrBAG;W_prog2015;Wdicht;Wstandplaats;Wligplaats;Winstituut;Wwibo;Wgeschiktoud_p;Wgeschiktoud65_p;Wnultrede_p;Wcorhuur;Wkoop;Wparthuur;Wcorhuur_p;Wparthuur_p;Wkoop_p;Wopp0060;Wopp6080;Wopp80plus;Wopponb;Wopp0060_p;Wopp6080_p;Wopp80plus_p;Wopponb_p;Wbezet;Wwoz_gem;Wwoz_m2;Whuur_gem;Whuurlaag_p;whuurkwal_p;Whuurtslg_p;Whuurmidden_p;Whuurhoog_p;Whuurquote;Wwoning_r;Wwoningcorp_r;Wwoning65_r;Wonderhoudwoning_r;ORonderhoudwoningen_r;Wverhuis_p;Wverhuis65_p;ORomgevingmooi_r;ORwoningenmooi_r;ORgroenmooi_r;ORaanbodspelen_r;ORverloed_p;OR_verhard_5;OR_gras_5;OR_groen_5;ORschoonstraten_r;ORschoongroen_r;ORschoonspelen_r;ORonderhoudstraten_r;ORonderhoudgroen_r;ORonderhoudspelen_r;Mvervuiling_r;ORopp;ORwater;ORland;ORgroen;ORsport;ORwater_p;ORgroen_p;ORsport_p;ORverblijf_i;VKhard_p;VKagressief_p;Vptotaal;Vpfiscaal;Vpnietfisc;VKparkeren_r;VKfietsparkeren_r;VKparkeeroverlast_r;VKov_r;VKov65_r;VKoverlastverkeer_r;VKverkeerslawaai_r;Lbuurt_r;Lverwachtingbuurt_r;Lbuurtvoor_p;Lbuurtgelijk_p;Lbuurtacht_p;Lsoccoh_r;Lsockwal_p;Lthuisvoelen_r;Lomganggroepenb_r;Lbetrokken_r;Loverl_p;Loverltoe_p;Loverlgelijk_P;Loverlaf_p;Lburenoverlast_r;Loverlastanderegroepen_r;Lhorecaoverlast_r;Lspan_i;Lnegaho_p;Vveiligh_i;Vcrimin_i;Vvolume_i;Vimpact_i;Voverlast_i;Vverloed_i;Vpersonovl_i;Vbeleving_i;Vinbraak_i;Vslacht_p;Vslachtjong_p;Vslachtverm_p;Vslachtgew_p;Vslachtvan_p;Vslachtfiets_p;Vveiligvoelen_p;Vveiligvoelen65_p;Vveiligdag_r;Vveiligavond_r;Vcriminaliteit_r;Vcrimitoe_p;Vcrimigelijk_p;Vcrimiaf_p;Ldrugsovl_p;Ljongerenovl_p;Vjeugdige_p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00;Burgwallen-Oude Zijde;2016;4290;;2349;1941;54;8;45;2;12258;23;138;3;2;;3683;85;9;3949;92;1;81;40;36;26;464;1271;2372;1;9;0;9;0;8;0;6;10;8;29;6;55;3;15;1;446;912;2492;58;1;248;76;28;70;5;21;6;8;150;86;54;51;7;29;7;18;6;;;;2793;149;79;489;65;116;1806;89;4;2;64;7;22;8;5;2;260;9;3;1;562;631;593;19;;;;;;;;;;5;9;122;69;64;88;584;848;577;337;272;278;278;225;196;166;100;56;20;9;1;0;0;2;3;99;120;71;343;2056;1249;352;8;2;31;137;3;2;54;290;6;8;297;6;9;4000;97;1024;266;86;2;30;0;7;2864;;8184;0;2;19;0;;;;566;580;1718;19;8;60;20;3;1343;593;820;108;46;9;20;7;28;6;3;8;1;5;290005;3980;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;396;396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01;Burgwallen-Nieuwe Zijde;2016;3981;;2166;1815;54;4;45;6;7028;19;2;0;1;;3480;87;4;3700;92;9;64;33;36;33;480;1253;2082;1;6;0;8;0;9;0;8;12;1;31;5;52;3;16;2;439;935;2438;61;2;210;61;10;74;7;21;7;3;6;101;86;53;42;1;35;8;22;1;;;;2717;133;66;531;51;67;1793;76;2;5;66;24;4;4;3;184;6;8;1;573;702;490;27;;;;;;;;;;5;3;100;66;54;74;519;867;600;366;276;231;215;193;139;138;82;32;20;4;5;0;0;2;3;93;97;50;306;2100;1054;281;7;1;13;109;2;7;38;240;6;258;6;5;3741;90;921;220;61;1;5;29;0;7;2791;;4927;1;11;3;0;;;;269;580;1942;9;6;69;6;20;8;1334;575;758;124;47;8;20;6;27;2;4;4;1;43;296672;4231;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;613;613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02;Grachtengordel-West;2016;6483;;3417;3066;52;7;47;3;14389;84;49;0;8;;4875;75;2;5640;87;69;42;45;10;458;2033;3826;1;1;0;6;0;7;0;2;7;1;31;4;59;9;6;437;1401;3199;49;3;785;210;31;76;5;20;5;3;421;211;66;60;3;30;2;9;5;;;;4081;462;239;544;136;143;2499;58;3;5;61;2;24;7;9;2;518;12;7;5;717;768;946;63;;;;;;;;;;7;9;219;186;177;228;613;751;559;452;454;497;503;444;374;483;282;154;66;30;9;2;0;2;8;184;293;221;436;2051;2272;1026;15;8;50;326;5;188;698;10;8;744;11;5;5785;258;1164;765;261;4;107;1;7;4320;;9588;0;70;13;0;;;;515;1735;2070;11;9;47;9;40;2;1353;721;2096;150;31;3;16;7;48;5;3;5;1;5;562899;4587;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;1484;1484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03;Grachtengordel-Zuid;2016;5455;;2972;2483;54;5;45;5;10411;145;49;0;9;;4145;76;4670;85;6;69;35;67;19;443;1551;3271;1;3;0;6;1;2;0;3;8;1;28;4;60;11;6;422;1004;2703;49;6;593;155;27;76;5;20;3;5;370;175;78;59;4;28;1;12;5;;;;3345;329;240;466;109;124;2026;51;3;7;60;6;23;8;10;4;473;14;1;2;589;668;698;69;;;;;;;;;;7;4;199;154;182;173;507;797;517;410;377;370;402;314;278;310;215;142;64;32;10;1;1;3;1;168;251;204;348;1968;1741;775;14;2;55;295;5;4;160;623;11;4;651;11;9;4832;220;989;525;250;4;6;108;2;3347;;6388;0;80;12;0;;;;197;1277;1873;5;9;56;38;2;998;651;1623;75;29;8;19;5;48;5;2;2;1;63;531223;4584;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;1307;1307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04;Nieuwmarkt/Lastage;2016;9618;;5000;4618;52;48;13553;57;26;0;3;;7363;76;6;8392;87;3;265;78;75;82;797;2477;5844;2;8;0;8;0;8;0;9;8;3;25;8;60;8;13;5;848;1553;4101;42;6;1079;252;117;74;5;17;4;8;1;579;239;146;60;1;24;8;15;1;;;;6209;547;345;812;154;370;3893;88;6;62;7;21;9;8;869;14;1;809;1061;1857;165;;;;;;;;;;8;6;297;290;220;312;890;1103;833;648;617;651;771;785;753;668;361;199;117;59;33;10;1;2;5;237;435;292;636;2993;3577;1448;15;1;87;472;4;9;255;964;10;1031;10;7;8654;375;1632;1029;419;4;4;220;2;3;6111;;8611;1;215;21;116;;;;2533;1720;1858;41;4;30;4;28;1;2356;1429;2037;289;38;6;23;4;33;3;4;7;1;57;339498;4216;;;;;;;;;;;;;;;;;;;;4;;3;;;;;;;;;;;;;;;;;;;1566;1566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05;Haarlemmerbuurt;2016;9314;;4710;4604;50;6;49;4;17332;27;74;0;8;;6904;74;1;7843;84;2;364;74;78;194;789;2142;5673;3;9;0;8;0;8;2;1;8;5;23;60;9;16;1;877;1302;3794;40;7;958;236;136;72;17;7;10;2;691;240;304;56;19;4;24;6;;;;5643;563;418;639;240;378;3349;56;6;7;59;3;21;3;11;7;1036;18;4;0;586;1112;1539;112;;;;;;;;;;8;4;447;334;299;276;543;829;861;759;711;774;754;722;675;597;342;199;111;60;16;5;0;4;375;523;337;399;2714;3636;1330;14;3;112;585;6;3;275;1235;13;3;1293;13;9;8079;451;1173;939;391;4;2;192;2;1;5610;;10439;4;142;39;140;;;;2474;1502;1634;44;1;29;1;26;8;2251;1441;1863;55;40;1;25;7;33;2;1;1;66;345271;4348;;;;;;;;;;;;;;;;;;;;4;;3;;;;;;;;;;;;;;;;;;;1211;1211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06;Jordaan;2016;19408;;9810;9598;50;5;49;5;23329;59;36;0;2;;14690;75;7;16660;85;8;432;173;171;288;1356;4673;12315;2;2;0;9;0;9;1;5;7;24;1;63;5;12;5;1497;2902;8497;43;8;2228;512;146;77;2;17;7;5;1;1297;479;326;61;7;22;8;15;5;;;;12914;935;630;1499;424;732;8556;138;5;7;66;3;18;8;8;2;1786;13;8;3;1717;2753;3765;318;;;;;;;;;;9;5;772;544;516;527;1342;2264;2044;1484;1413;1575;1473;1322;1246;1282;688;479;241;116;65;13;2;3;4;651;867;584;900;6491;7029;2886;14;9;192;962;5;489;2102;10;8;2196;11;3;17306;746;2788;1970;916;4;7;437;2;3;12967;;15587;0;113;9;14;;;;4929;3534;4504;38;34;7;27;3;7520;2895;2419;133;58;22;3;18;7;1;1;5;307654;4481;;;;;;;;;;;;;;;;;;;;4;;3;;;;;;;;;;;;;;;;;;;3039;3039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07;De Weteringschans;2016;7352;;3786;3566;51;5;48;5;13217;32;13;0;2;;5727;77;9;6374;86;7;115;57;78;43;543;1962;4554;1;6;0;8;1;1;0;6;7;4;26;7;61;9;11;4;513;1253;3723;50;6;668;179;34;75;8;20;3;3;9;547;205;94;64;7;24;2;11;1;;;;4544;400;300;683;149;183;2737;92;4;60;2;23;8;9;9;632;13;9;2;748;983;925;79;;;;;;;;;;7;9;296;233;215;195;740;1057;798;599;575;507;447;432;377;404;243;129;58;28;14;5;0;3;4;252;359;235;444;2843;2338;881;12;71;411;5;6;183;846;11;5;882;12;6506;315;1391;647;234;3;2;105;1;4;4562;;8201;0;76;5;5;;;;532;1801;2229;11;7;48;9;39;5;2060;887;1553;62;45;2;19;4;34;1;4;1;61;399971;4522;;;;;;;;;;;;;;;;;;;;4;3;4;;;;;;;;;;;;;;;;;;;1552;1552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08;Weesperbuurt/Plantage;2016;7943;;4128;3815;52;48;10237;492;504;6;3;;6121;77;1;6824;85;9;286;65;55;134;734;1901;4768;3;6;0;8;0;7;1;7;9;2;23;9;60;16;867;1207;3665;46;1;831;200;70;75;5;18;2;6;4;512;195;134;60;9;23;2;15;9;;;;4809;375;271;650;165;209;3079;60;4;3;64;21;3;9;1;645;13;4;4;904;923;1146;102;;;;;;;;;;7;8;290;230;201;254;961;986;701;566;556;567;586;506;438;461;242;160;122;72;30;14;0;3;1;246;343;252;648;2700;2653;1101;13;9;83;384;4;8;211;841;10;6;886;11;2;7102;299;1620;703;398;5;238;3;4365;;5625;0;99;13;43;;;;1535;1414;1416;35;2;32;4;32;4;1943;1126;1247;49;44;5;25;8;28;6;1;1;1;82;350939;4310;;;;;;;;;;;;;;;;;;;;4;3;4;;;;;;;;;;;;;;;;;;;1778;1778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A09;Oostelijke Eilanden/Kadijken;2016;12655;;6348;6307;50;2;49;8;12845;48;178;1;4;;9583;75;7;10747;84;9;828;114;212;615;1282;2312;7292;6;5;0;9;1;7;4;9;10;1;18;3;57;6;24;1;1806;1307;4642;36;7;1070;247;267;67;6;15;6;16;9;921;261;559;52;9;15;32;1;;;;7458;641;611;821;335;580;4398;72;7;8;59;19;6;12;7;1526;20;5;2;882;1300;2099;115;;;;;;;;;;9;7;533;490;465;464;1104;1163;1074;860;941;981;1052;1026;918;772;392;207;124;63;17;9;0;3;4;434;789;518;834;3578;4918;1584;12;5;149;900;7;1;407;1741;13;8;1837;14;5;10914;690;2032;1164;420;3;3;213;1;7;7280;;7389;0;165;10;38;;;;4483;1932;865;61;6;11;9;26;5;2809;1980;2452;39;38;6;27;2;33;7;0;5;1;74;276481;3745;;;;;;;;;;;;;;;;;;;;4;3;4;;;;;;;;;;;;;;;;;;;2493;2493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
