id	name	year	data1	data2
A00	Burgwallen-Oude Zijde	2005	3684	2177
A01	Burgwallen-Nieuwe Zijde	2005	3361	1889
A02	Grachtengordel-West	2005	7804	4531
A03	Grachtengordel-Zuid	2005	5123	2829
A04	Nieuwmarkt/Lastage	2005	8819	4643
A05	Haarlemmerbuurt	2005	7174	3650
A06	Jordaan	2005	18772	9535
A07	De Weteringschans	2005	6855	3615
A08	Weesperbuurt/Plantage	2005	7829	3859
A09	Oostelijke Eilanden/Kadijken	2005	11852	6080
B10	Westelijk Havengebied	2005	249	165
E12	Houthavens	2005	1049	531
E13	Spaarndammer- en Zeeheldenbuurt	2005	10459	5246
E14	Staatsliedenbuurt	2005	12120	6317
E15	Centrale Markt	2005	2296	1083
E16	Frederik Hendrikbuurt	2005	7625	3852
E17	Da Costabuurt	2005	4314	2163
E18	Kinkerbuurt	2005	5224	2722
E19	Van Lennepbuurt	2005	6632	3332
E20	Helmersbuurt	2005	6773	3240
E21	Overtoomse Sluis	2005	7157	3504
E22	Vondelbuurt	2005	1740	901
E36	Sloterdijk	2005	115	60
E37	Landlust	2005	18181	9135
E38	Erasmuspark	2005	5371	2649
E39	De Kolenkit	2005	7350	3772
E40	Geuzenbuurt	2005	6294	3116
E41	Van Galenbuurt	2005	5656	2818
E42	Hoofdweg e,o,	2005	10220	5079
E43	Westindische Buurt	2005	6461	3079
E75	Chassébuurt	2005	5841	2854
F11	Bedrijventerrein Sloterdijk	2005	69	39
F76	Slotermeer-Noordoost	2005	9010	4540
F77	Slotermeer-Zuidwest	2005	16191	7952
F78	Geuzenveld	2005	13344	6550
F79	Eendracht	2005	2341	1157
F80	Lutkemeer/Ookmeer	2005	875	432
F81	Osdorp-Oost	2005	14418	6720
F82	Osdorp-Midden	2005	9659	4640
F83	De Punt	2005	4850	2271
F84	Middelveldsche Akerpolder	2005	14272	7063
F85	Slotervaart-Noord	2005	7612	3740
F86	Overtoomse Veld	2005	9617	4719
F87	Westlandgracht	2005	5490	2776
F88	Sloter-/Riekerpolder	2005	14070	6990
F89	Slotervaart-Zuid	2005	8445	3795
K23	Zuidas	2005	74	33
K24	Oude Pijp	2005	13840	7185
K25	Nieuwe Pijp	2005	11448	5713
K26	Zuid-Pijp	2005	8231	3940
K44	Hoofddorppleinbuurt	2005	10771	4956
K45	Schinkelbuurt	2005	3786	1846
K46	Willemspark	2005	5125	2493
K47	Museumkwartier	2005	12673	6069
K48	Stadionbuurt	2005	9726	4458
K49	Apollobuurt	2005	8096	3797
K52	Scheldebuurt	2005	13237	5935
K53	IJselbuurt	2005	5166	2459
K54	Rijnbuurt	2005	8575	3946
K59	Prinses Irenebuurt e,o,	2005	1123	505
K90	Buitenveldert-West	2005	11692	5188
K91	Buitenveldert-Oost	2005	7174	3207
M27	Weesperzijde	2005	4501	2298
M28	Oosterparkbuurt	2005	10631	5465
M29	Dapperbuurt	2005	8441	4299
M30	Transvaalbuurt	2005	9664	4869
M31	Indische Buurt-West	2005	12749	6694
M32	Indische Buurt-Oost	2005	10712	5441
M33	Oostelijk Havengebied	2005	16524	8418
M34	Zeeburgereiland/Nieuwe diep	2005	568	349
M35	IJburg-West	2005	1650	829
M50	IJburg-Oost	2005		0
M51	IJburg-Zuid	2005		0
M55	Frankendael	2005	9423	4474
M56	Middenmeer	2005	11890	5659
M57	Betondorp	2005	3094	1476
M58	Omval/Overamstel	2005	1035	622
N60	Volewijck	2005	10166	5002
N61	IJplein/Vogelbuurt	2005	8247	4137
N62	Tuindorp Nieuwendam	2005	3420	1560
N63	Tuindorp Buiksloot	2005	1928	937
