id	name	year	Bevtotaal	Wdicht	Wligplaats	Winstituut	Wcorhuur	Wkoop	Wparthuur
A00	Burgwallen-Oude Zijde	2005	3684		2	19			
A01	Burgwallen-Nieuwe Zijde	2005	3361		5	6			
A02	Grachtengordel-West	2005	7804		74	24			
A03	Grachtengordel-Zuid	2005	5123		55	22			
A04	Nieuwmarkt/Lastage	2005	8819		162	22			
A05	Haarlemmerbuurt	2005	7174		150	100			
A06	Jordaan	2005	18772		127	18			
A07	De Weteringschans	2005	6855		62	17			
A08	Weesperbuurt/Plantage	2005	7829		92	46			
A09	Oostelijke Eilanden/Kadijken	2005	11852		144	10			
B10	Westelijk Havengebied	2005	249		17	2			
E12	Houthavens	2005	1049		245	0			
E13	Spaarndammer- en Zeeheldenbuurt	2005	10459		12	5			
E14	Staatsliedenbuurt	2005	12120		52	22			
E15	Centrale Markt	2005	2296		24	3			
E16	Frederik Hendrikbuurt	2005	7625		18	10			
E17	Da Costabuurt	2005	4314		65	26			
E18	Kinkerbuurt	2005	5224		12	9			
E19	Van Lennepbuurt	2005	6632		49	6			
E20	Helmersbuurt	2005	6773		12	24			
E21	Overtoomse Sluis	2005	7157		18	81			
E22	Vondelbuurt	2005	1740		0	9			
E36	Sloterdijk	2005	115		0	1			
E37	Landlust	2005	18181		18	0			
E38	Erasmuspark	2005	5371		0	1			
E39	De Kolenkit	2005	7350		0	7			
E40	Geuzenbuurt	2005	6294		0	1			
E41	Van Galenbuurt	2005	5656		0	0			
E42	Hoofdweg e,o,	2005	10220		0	2			
E43	Westindische Buurt	2005	6461		0	3			
E75	Chassébuurt	2005	5841		0	1			
F11	Bedrijventerrein Sloterdijk	2005	69		0	3			
F76	Slotermeer-Noordoost	2005	9010		0	7			
F77	Slotermeer-Zuidwest	2005	16191		8	7			
F78	Geuzenveld	2005	13344		0	62			
F79	Eendracht	2005	2341		0	0			
F80	Lutkemeer/Ookmeer	2005	875		0	1			
F81	Osdorp-Oost	2005	14418		0	11			
F82	Osdorp-Midden	2005	9659		0	4			
F83	De Punt	2005	4850		0	5			
F84	Middelveldsche Akerpolder	2005	14272		14	1			
F85	Slotervaart-Noord	2005	7612		0	8			
F86	Overtoomse Veld	2005	9617		0	19			
F87	Westlandgracht	2005	5490		0	5			
F88	Sloter-/Riekerpolder	2005	14070		17	30			
F89	Slotervaart-Zuid	2005	8445		0	252			
K23	Zuidas	2005	74		0	14			
K24	Oude Pijp	2005	13840		26	4			
K25	Nieuwe Pijp	2005	11448		22	6			
K26	Zuid-Pijp	2005	8231		24	3			
K44	Hoofddorppleinbuurt	2005	10771		46	6			
K45	Schinkelbuurt	2005	3786		0	11			
K46	Willemspark	2005	5125		0	22			
