id	wijk_name	households
F11	Bedrijventerrein Sloterdijk	76
N72	Noordelijke IJ-oevers-Oost	98
B10	Westelijk Havengebied	90
T92	Amstel III/Bullewijk	292
E36	Sloterdijk	266
F80	Lutkemeer/Ookmeer	373
E12	Houthavens	682
M34	Zeeburgereiland/Nieuwe diep	818
K59	Prinses Irenebuurt e,o,	674
T98	Driemond	634
N64	Nieuwendammerdijk/Buiksloterdijk	669
N71	Noordelijke IJ-oevers-West	1042
N63	Tuindorp Buiksloot	960
E22	Vondelbuurt	981
N73	Waterland	960
K23	Zuidas	1713
F79	Eendracht	1045
N74	Elzenhagen	936
E15	Centrale Markt	1282
T95	Nellestein	1770
N67	Kadoelen	1308
M57	Betondorp	1989
N62	Tuindorp Nieuwendam	1892
K45	Schinkelbuurt	2409
M58	Omval/Overamstel	2973
A01	Burgwallen-Nieuwe Zijde	2717
A00	Burgwallen-Oude Zijde	2793
E17	Da Costabuurt	2838
M27	Weesperzijde	2938
K53	IJselbuurt	3188
A03	Grachtengordel-Zuid	3345
K46	Willemspark	2663
E38	Erasmuspark	3301
F83	De Punt	2830
E75	Chassébuurt	3238
E18	Kinkerbuurt	4135
A02	Grachtengordel-West	4081
E40	Geuzenbuurt	3972
E43	Westindische Buurt	3970
E41	Van Galenbuurt	4624
M51	IJburg-Zuid	2760
E19	Van Lennepbuurt	4579
A07	De Weteringschans	4544
E20	Helmersbuurt	4442
K91	Buitenveldert-Oost	4482
E21	Overtoomse Sluis	4585
F87	Westlandgracht	4211
A08	Weesperbuurt/Plantage	4809
F85	Slotervaart-Noord	3671
N61	IJplein/Vogelbuurt	4402
K26	Zuid-Pijp	4887
E16	Frederik Hendrikbuurt	5238
K49	Apollobuurt	4104
N66	Oostzanerwerf	4000
K54	Rijnbuurt	5608
M29	Dapperbuurt	5281
A05	Haarlemmerbuurt	5643
M30	Transvaalbuurt	5071
F76	Slotermeer-Noordoost	4504
E39	De Kolenkit	4762
A04	Nieuwmarkt/Lastage	6209
N60	Volewijck	5040
F89	Slotervaart-Zuid	4779
M32	Indische Buurt-Oost	5334
E42	Hoofdweg e.o.	6010
E13	Spaarndammer- en Zeeheldenbuurt	6230
N69	Buikslotermeer	5866
M28	Oosterparkbuurt	6408
M55	Frankendael	6534
N65	Tuindorp Oostzaan	5381
T97	Gein	5581
K48	Stadionbuurt	6766
K44	Hoofddorppleinbuurt	6974
F86	Overtoomse Veld	5697
K25	Nieuwe Pijp	7809
M31	Indische Buurt-West	6985
A09	Oostelijke Eilanden/Kadijken	7458
K90	Buitenveldert-West	7277
K47	Museumkwartier	6761
E14	Staatsliedenbuurt	8004
N68	Waterlandpleinbuurt	5993
F88	Sloter-/Riekerpolder	6196
N70	Banne Buiksloot	6368
M35	IJburg-West	5584
F84	Middelveldsche Akerpolder	5953
K52	Scheldebuurt	8018
K24	Oude Pijp	9558
M56	Middenmeer	7739
F78	Geuzenveld	6641
F82	Osdorp-Midden	7213
F81	Osdorp-Oost	8489
F77	Slotermeer-Zuidwest	8496
T96	Holendrecht/Reigersbos	9151
M33	Oostelijk Havengebied	9099
E37	Landlust	10350
A06	Jordaan	12914
T93	Bijlmer-Centrum (D,F,H)	13115
T94	Bijlmer-Oost (E,G,K)	13920
M50	IJburg-Oost	
Z99	buiten beschouwing	
